ts,host,url,hour,dns_ms,tcp_ms,tls_ms,server_ms,transfer_ms,total_ms,response_size,http_status,cache_state,conn_reuse,success,error_stage,error_type,source,cause,dns_share,tcp_share,tls_share,server_share,transfer_share,log_total,log_size,is_peak_hour,cache_warm,handshake_ms,tls_over_tcp,label,label_source
,cdn-near.example,https://cdn-near.example/,18,7.608,6.938,23.014,37.099,4.158,78.816,60159,200.0,cold,0,1,,,synthetic,NORMAL,0.09652862362971984,0.08802781161185545,0.29199654892407634,0.47070391798619565,0.0527557856272838,4.379723985611206,11.004762958623722,0,0,29.951999999999998,2.8992189468379945,NORMAL,ground_truth
,cdn-far.example,https://cdn-far.example/,22,28.444,106.528,437.295,107.895,27.287,707.449,130703,200.0,cold,0,1,,,synthetic,NORMAL,0.04020643184172994,0.15058046587103807,0.618129363388739,0.15251276063716254,0.0385709782613305,6.563078073477021,11.780690503581651,1,0,543.823,4.066801205267465,NORMAL,ground_truth
,cdn-near.example,https://cdn-near.example/,23,13.637,0.0,0.0,78.379,9.835,101.851,114312,200.0,cold,1,1,,,synthetic,NORMAL,0.13389166527574595,0.0,0.0,0.7695457089277474,0.09656262579650667,4.633281338949122,11.646695579098505,1,0,0.0,0.0,NORMAL,ground_truth
,shop.example,https://shop.example/,23,0.0,47.537,89.537,222.425,90.466,449.965,737187,200.0,warm,0,1,,,synthetic,NORMAL,0.0,0.10564599468847577,0.19898658784572135,0.4943162245952463,0.2010511928705566,6.111389731169722,13.510598226837399,1,1,137.074,1.8447164019201847,NORMAL,ground_truth
,cdn-near.example,https://cdn-near.example/,19,0.0,10.462,3224.868,0.0,0.0,3235.33,0,,warm,0,0,TLS,,synthetic,TLS_PROBLEM,0.0,0.003233673226533306,0.9967663267734667,0.0,0.0,8.082195250729313,0.0,1,1,3235.33,281.35299249694646,TLS_PROBLEM,ground_truth
,legacy.example,https://legacy.example/,15,498.527,77.889,76.703,345.478,12.223,1010.82,132431,200.0,cold,0,1,,,synthetic,DNS_PROBLEM,0.4931906768761995,0.0770552620644625,0.07588195722284878,0.34177994103796916,0.012092162798520014,6.919505968414799,11.793824585125178,0,0,154.59199999999998,0.9722901798729862,DNS_PROBLEM,ground_truth
,legacy.example,https://legacy.example/,7,0.0,0.0,0.0,192.301,23.406,215.706,174313,200.0,warm,1,1,,,synthetic,NORMAL,0.0,0.0,0.0,0.8914958322902469,0.1085088036494117,5.378541596206999,12.06861354956767,0,1,0.0,0.0,NORMAL,ground_truth
,media.example,https://media.example/,6,24.896,41.431,880.274,65.104,191.895,1203.6,1537221,200.0,cold,0,1,,,synthetic,TLS_PROBLEM,0.02068461282818212,0.03442256563642406,0.7313675639747425,0.05409106015287471,0.1594341974077767,7.093902840609621,14.245487449306037,0,0,921.705,20.74601117107775,TLS_PROBLEM,ground_truth
,legacy.example,https://legacy.example/,3,0.0,58.098,116.672,311.896,22.182,508.847,132136,200.0,warm,0,1,,,synthetic,NORMAL,0.0,0.11417577385736774,0.22928699589464024,0.6129465242007912,0.04359267127446954,6.234110680709369,11.791594542132573,0,1,174.76999999999998,1.974212325290196,NORMAL,ground_truth
,shop.example,https://shop.example/,2,28.363,25.82,91.953,126.575,57.939,330.651,480499,200.0,cold,0,1,,,synthetic,NORMAL,0.08577926575150234,0.0780883771710958,0.2780968453142437,0.38280543533816624,0.17522705208815337,5.804083211193915,13.082582507392484,0,0,117.773,3.428523489932886,NORMAL,ground_truth
,shop.example,https://shop.example/,21,81.59,38.044,157.182,314.598,116.268,707.682,598175,200.0,cold,0,1,,,synthetic,DNS_PROBLEM,0.11529189664284241,0.053758609092784605,0.22210823505472796,0.4445471270994599,0.1642941321101851,6.563406906876474,13.301640304012059,1,0,195.226,4.025765802684151,DNS_PROBLEM,ground_truth
,legacy.example,https://legacy.example/,9,0.0,161.476,143.604,412.511,38.018,755.609,193293,200.0,warm,0,1,,,synthetic,NORMAL,0.0,0.21370311894114546,0.19005067435671094,0.5459318245282944,0.05031438217384917,6.628846607449354,12.171967624880223,1,1,305.08000000000004,0.8838474605480194,NORMAL,ground_truth
,shop.example,https://shop.example/,8,0.0,67.874,198.062,734.027,380.617,1380.58,2285811,200.0,warm,0,1,,,synthetic,NORMAL,0.0,0.049163395094815224,0.14346289240753887,0.5316801634095816,0.2756935490880645,7.230983050757801,14.642231880234986,1,1,265.93600000000004,2.87571507390307,NORMAL,ground_truth
,cdn-near.example,https://cdn-near.example/,13,4536.593,0.0,0.0,0.0,0.0,4536.593,0,,cold,0,0,DNS,,synthetic,DNS_PROBLEM,1.0,0.0,0.0,0.0,0.0,8.420151974230837,0.0,0,0,0.0,0.0,DNS_PROBLEM,ground_truth
,cdn-near.example,https://cdn-near.example/,6,10.076,5.558,23.26,36.721,39.008,114.623,267136,200.0,cold,0,1,,,synthetic,NORMAL,0.08790556869040245,0.04848939567102588,0.20292611430515692,0.3203632778761679,0.3403156434572468,4.750334898385692,12.495516914401406,0,0,28.818,3.546813052759988,NORMAL,ground_truth
,shop.example,https://shop.example/,19,17.745,36.668,130.909,235.943,60.516,481.782,288513,200.0,cold,0,1,,,synthetic,NORMAL,0.0368320111585738,0.0761091115898892,0.2717183290367843,0.48972979480345885,0.12560867778372792,6.179565206009725,12.572498890615986,1,0,167.577,3.4753371562068596,NORMAL,ground_truth
,cdn-near.example,https://cdn-near.example/,21,18.954,17.791,55.293,136.504,16.099,244.641,114194,200.0,cold,0,1,,,synthetic,NORMAL,0.0774767925245564,0.07272288782338202,0.22601689823046833,0.5579767904807452,0.06580663094084802,5.50387112045112,11.645662792408423,1,0,73.084,2.9425256771858868,NORMAL,ground_truth
,shop.example,https://shop.example/,6,0.0,26.367,643.312,280.959,34.851,985.49,306133,200.0,warm,0,1,,,synthetic,TLS_PROBLEM,0.0,0.026755218216318787,0.6527838943063856,0.28509573917543557,0.03536413357821997,6.894153188563852,12.631778193577306,0,1,669.679,23.506851317279935,TLS_PROBLEM,ground_truth
,shop.example,https://shop.example/,12,0.0,0.0,0.0,255.46,20.424,275.884,191035,200.0,warm,1,1,,,synthetic,NORMAL,0.0,0.0,0.0,0.9259688854736048,0.07403111452639514,5.623598645914444,12.16021717094372,0,1,0.0,0.0,NORMAL,ground_truth
,media.example,https://media.example/,16,0.0,264.519,85.225,54.227,144.222,548.193,1564657,200.0,warm,0,1,,,synthetic,CONNECT_PROBLEM,0.0,0.4825289633395538,0.15546531969580057,0.09891954111052129,0.2630861758541244,6.308449928000497,14.263177827723716,0,1,349.744,0.3209751467879888,CONNECT_PROBLEM,ground_truth
