ts,host,url,hour,dns_ms,tcp_ms,tls_ms,server_ms,transfer_ms,total_ms,response_size,http_status,cache_state,conn_reuse,success,error_stage,error_type,source
2026-09-05T22:19:47,google.com,https://google.com/,22,10.931,51.348,70.583,126.218,1.328,274.903,847,301,cold,0,1,,,real
2026-09-05T22:19:49,cloudflare.com,https://cloudflare.com/,22,23.577,49.791,53.063,145.125,0.096,282.577,1154,301,cold,0,1,,,real
2026-09-05T22:19:50,expired.badssl.com,https://expired.badssl.com/,22,99.829,221.03,,,,556.913,0,,cold,0,0,TLS,SSLCertVerificationError,real
2026-09-05T22:19:51,wrong.host.badssl.com,https://wrong.host.badssl.com/,22,72.069,235.232,,,,549.483,0,,cold,0,0,TLS,SSLCertVerificationError,real
2026-09-05T22:19:53,github.com,https://github.com/duong-dan-loi-404-test,22,20.473,92.115,77.108,482.918,294.882,997.643,271674,404,cold,0,0,HTTP,status_404,real
2026-09-05T22:19:55,httpbin.org,https://httpbin.org/status/500,22,31.078,283.314,567.456,406.878,0.089,1310.445,246,500,cold,0,0,HTTP,status_500,real
2026-09-05T22:19:57,domain-khong-ton-tai-123456789.com,http://domain-khong-ton-tai-123456789.com/,22,,,,,,12026.227,0,,cold,0,0,DNS,gaierror,real
2026-09-05T22:20:10,google.com,https://google.com/,22,16.319,46.546,66.224,115.414,0.074,262.944,847,301,cold,0,1,,,real
2026-09-05T22:20:12,cloudflare.com,https://cloudflare.com/,22,0.905,47.334,51.067,137.538,0.131,256.368,1158,301,cold,0,1,,,real
2026-09-05T22:20:13,expired.badssl.com,https://expired.badssl.com/,22,0.865,232.191,,,,476.443,0,,cold,0,0,TLS,SSLCertVerificationError,real
2026-09-05T22:20:14,wrong.host.badssl.com,https://wrong.host.badssl.com/,22,1.065,218.44,,,,459.5,0,,cold,0,0,TLS,SSLCertVerificationError,real
2026-09-05T22:20:16,github.com,https://github.com/duong-dan-loi-404-test,22,24.632,70.042,76.44,145.188,286.069,618.505,271685,404,cold,0,0,HTTP,status_404,real
2026-09-05T22:20:17,httpbin.org,https://httpbin.org/status/500,22,1.024,274.629,557.044,298.331,0.073,1158.984,246,500,cold,0,0,HTTP,status_500,real
2026-09-05T22:20:20,domain-khong-ton-tai-123456789.com,http://domain-khong-ton-tai-123456789.com/,22,,,,,,12039.487,0,,cold,0,0,DNS,gaierror,real
2026-09-05T22:20:33,google.com,https://google.com/,22,0.741,52.589,70.815,127.743,0.086,268.372,847,301,cold,0,1,,,real
2026-09-05T22:20:34,cloudflare.com,https://cloudflare.com/,22,0.828,38.57,46.443,123.475,0.128,226.756,1156,301,cold,0,1,,,real
2026-09-05T22:20:35,expired.badssl.com,https://expired.badssl.com/,22,0.938,234.246,,,,476.898,0,,cold,0,0,TLS,SSLCertVerificationError,real
2026-09-05T22:20:37,wrong.host.badssl.com,https://wrong.host.badssl.com/,22,0.754,217.524,,,,464.597,0,,cold,0,0,TLS,SSLCertVerificationError,real
