ts,host,url,hour,dns_ms,tcp_ms,tls_ms,server_ms,transfer_ms,total_ms,response_size,http_status,cache_state,conn_reuse,success,error_stage,error_type,source,cause
,cdn-near.example,https://cdn-near.example/,18,7.608,6.938,23.014,37.099,4.158,78.816,60159,200.0,cold,0,1,,,synthetic,NORMAL
,cdn-far.example,https://cdn-far.example/,22,28.444,106.528,437.295,107.895,27.287,707.449,130703,200.0,cold,0,1,,,synthetic,NORMAL
,cdn-near.example,https://cdn-near.example/,23,13.637,0.0,0.0,78.379,9.835,101.851,114312,200.0,cold,1,1,,,synthetic,NORMAL
,shop.example,https://shop.example/,23,0.0,47.537,89.537,222.425,90.466,449.965,737187,200.0,warm,0,1,,,synthetic,NORMAL
,cdn-near.example,https://cdn-near.example/,19,0.0,10.462,3224.868,0.0,0.0,3235.33,0,,warm,0,0,TLS,,synthetic,TLS_PROBLEM
,legacy.example,https://legacy.example/,15,498.527,77.889,76.703,345.478,12.223,1010.82,132431,200.0,cold,0,1,,,synthetic,DNS_PROBLEM
,legacy.example,https://legacy.example/,7,0.0,0.0,0.0,192.301,23.406,215.706,174313,200.0,warm,1,1,,,synthetic,NORMAL
,media.example,https://media.example/,6,24.896,41.431,880.274,65.104,191.895,1203.6,1537221,200.0,cold,0,1,,,synthetic,TLS_PROBLEM
,legacy.example,https://legacy.example/,3,0.0,58.098,116.672,311.896,22.182,508.847,132136,200.0,warm,0,1,,,synthetic,NORMAL
,shop.example,https://shop.example/,2,28.363,25.82,91.953,126.575,57.939,330.651,480499,200.0,cold,0,1,,,synthetic,NORMAL
,shop.example,https://shop.example/,21,81.59,38.044,157.182,314.598,116.268,707.682,598175,200.0,cold,0,1,,,synthetic,DNS_PROBLEM
,legacy.example,https://legacy.example/,9,0.0,161.476,143.604,412.511,38.018,755.609,193293,200.0,warm,0,1,,,synthetic,NORMAL
,shop.example,https://shop.example/,8,0.0,67.874,198.062,734.027,380.617,1380.58,2285811,200.0,warm,0,1,,,synthetic,NORMAL
,cdn-near.example,https://cdn-near.example/,13,4536.593,0.0,0.0,0.0,0.0,4536.593,0,,cold,0,0,DNS,,synthetic,DNS_PROBLEM
,cdn-near.example,https://cdn-near.example/,6,10.076,5.558,23.26,36.721,39.008,114.623,267136,200.0,cold,0,1,,,synthetic,NORMAL
,shop.example,https://shop.example/,19,17.745,36.668,130.909,235.943,60.516,481.782,288513,200.0,cold,0,1,,,synthetic,NORMAL
,cdn-near.example,https://cdn-near.example/,21,18.954,17.791,55.293,136.504,16.099,244.641,114194,200.0,cold,0,1,,,synthetic,NORMAL
,shop.example,https://shop.example/,6,0.0,26.367,643.312,280.959,34.851,985.49,306133,200.0,warm,0,1,,,synthetic,TLS_PROBLEM
,shop.example,https://shop.example/,12,0.0,0.0,0.0,255.46,20.424,275.884,191035,200.0,warm,1,1,,,synthetic,NORMAL
,media.example,https://media.example/,16,0.0,264.519,85.225,54.227,144.222,548.193,1564657,200.0,warm,0,1,,,synthetic,CONNECT_PROBLEM
,media.example,https://media.example/,22,20.644,72.566,377.298,229.725,211.848,912.082,1203075,200.0,cold,0,1,,,synthetic,NORMAL
,shop.example,https://shop.example/,11,0.0,25.03,241.291,178.368,35.798,480.486,313042,200.0,warm,0,1,,,synthetic,TLS_PROBLEM
,cdn-near.example,https://cdn-near.example/,15,0.0,0.0,0.0,22.34,7.638,29.978,230899,200.0,warm,1,1,,,synthetic,NORMAL
,media.example,https://media.example/,1,0.0,38.649,128.991,87.174,161.435,416.25,1527183,200.0,warm,0,1,,,synthetic,NORMAL
,shop.example,https://shop.example/,2,0.0,0.0,0.0,237.288,87.66,324.948,883510,200.0,warm,1,1,,,synthetic,NORMAL
,legacy.example,https://legacy.example/,7,38.661,126.03,236.398,369.79,32.083,802.962,209761,200.0,cold,0,1,,,synthetic,NORMAL
,cdn-near.example,https://cdn-near.example/,20,14.069,8.814,2816.846,0.0,0.0,2839.729,0,,cold,0,0,TLS,,synthetic,TLS_PROBLEM
,cdn-far.example,https://cdn-far.example/,12,182.156,108.698,144.463,102.326,76.182,613.825,340030,200.0,cold,0,1,,,synthetic,DNS_PROBLEM
,cdn-far.example,https://cdn-far.example/,16,37.749,104.309,355.379,76.857,24.22,598.514,216881,200.0,cold,0,1,,,synthetic,NORMAL
,legacy.example,https://legacy.example/,15,37.418,4746.265,0.0,0.0,0.0,4783.683,0,,cold,0,0,CONNECT,,synthetic,CONNECT_PROBLEM
